,CUSTNO,ZIP,ORDER_NO,PRODUCT_NO,PRODUCT_CATEGORY_ID,CHANNEL,OFFER_ID,ORDER_DATE,COST,REVENUE,PAY_METHOD,QUANTITY,RETN_REVENUE
7994,10130013774,27516,130060944,991484,P,ML,A12MSB,2012-08-17,43.0,99.95,PC,1,
7995,10131009720,90028,130058575,992252,F,ML,A12SMB,2012-07-17,59.95,99.95,PC,1,
7999,10032872093,93433,130023233,975612,H,ML,A11FDB,2011-05-24,3.15,14.95,PC,1,
8012,10079518600,28207,130677978,975612,H,ML,A12LWB,2012-01-30,3.15,14.95,VI,1,
8023,10122159195,32303,130035177,975612,H,ML,A11GFP,2011-10-25,3.15,14.95,PC,1,
8024,10126192645,29407,130040507,975612,H,ML,A11LMB,2011-11-28,3.15,14.95,PC,1,
8053,10116178868,18067,130021459,987389,B,ML,A11LSB,2011-04-29,41.89,89.95,MO,1,
8054,9999917113,97520,130016958,988925,C,ML,A10GFB,2011-02-22,20.0,49.95,PC,1,
8055,10000495469,30606,130024700,991229,F,ML,A11SMB,2011-06-14,56.98,119.95,PC,1,
8056,10100041407,13760,130680123,991741,P,ML,A12FDB,2012-06-11,34.0,99.95,DI,1,
8066,10025834661,48044,130039223,986366,F,ML,A11LMB,2011-11-21,5.32,14.95,PC,1,
8067,10053125264,20194,130040147,986366,F,ML,A11GFB,2011-11-25,5.32,14.95,PC,1,
8073,10108666864,94025,130027580,986366,F,ML,A11PCB,2011-07-25,5.94,14.95,PC,1,
8074,9997459266,02574,130029886,989182,P,ML,A11OFM,2011-08-20,36.0,99.95,PC,1,
8076,10108302189,71264,130016091,989182,P,ML,A11LWB,2011-02-08,36.0,99.95,PC,1,
8077,10121891515,70431,130020745,989182,P,ML,A11LSB,2011-04-11,36.0,99.95,MO,1,
8078,10123425718,44681,123457268,989182,P,ML,A11PCB,2011-08-09,36.0,99.95,MO,1,
8080,10051711362,83313,130055495,991486,B,ML,A12ESB,2012-06-04,15.0,59.95,PC,1,
8081,10108730274,32958,130056800,991486,B,ML,A12FDB,2012-06-19,15.0,59.95,PC,1,
8082,10129222160,12983,130049719,991486,B,ML,A12SPB,2012-03-05,15.0,59.95,PC,1,
8088,10125658284,98059,130047871,989183,F,ML,A12LWB,2012-02-07,79.0,159.95,PC,1,
8089,10130591137,42301,130680244,989183,F,ML,A12SMB,2012-06-15,79.0,159.95,MC,1,
8090,10130636917,66202,130680306,989183,F,ML,A12SMB,2012-06-19,79.0,159.95,MC,1,
8091,10049222736,97103,130058890,989951,F,ML,A12PCB,2012-07-23,9.5,49.95,PC,1,
8092,10114709270,97438,130051927,989951,F,ML,W12SHP,2012-04-04,9.5,49.95,PC,1,
8093,10125471696,32459,130059047,989951,F,ML,A12PCB,2012-07-23,9.5,49.95,PC,1,
8094,10129694769,68735,130052417,989951,F,ML,A12LSB,2012-04-10,9.5,49.95,PC,1,
8095,10129931224,98901,130053306,989951,F,ML,A12ESB,2012-04-30,9.5,49.95,PC,1,
8096,10131409836,49506,130060889,989951,F,ML,A12OFM,2012-08-16,8.36,49.95,PC,1,
8097,10116106441,54241,130029670,991231,C,ML,A11OFM,2011-08-17,18.36,59.95,PC,1,
8098,10131622084,97420,130061585,991231,C,ML,A12OFM,2012-09-05,21.49,69.95,PC,1,
8099,10126136686,36832,130676239,991487,E,ML,A11LMB,2011-11-28,45.0,69.95,AX,1,
8257,10035024336,50265,131813013,985344,P,PH,A12LWB,2012-01-27,145.0,399.95,VI,1,
8259,10053754028,46902,131568651,985344,P,PH,A11PCB,2011-07-26,145.0,299.95,VI,1,
8264,10070183837,94306,131593798,985344,P,PH,A11EHB,2011-09-06,145.0,299.95,VI,1,
8284,10107265791,32754,131819269,985344,P,PH,A11GFB,2012-02-07,145.0,299.95,VI,1,
8286,10108623495,91342,131570651,985344,P,PH,A11MSB,2011-07-29,145.0,299.95,MC,1,
8297,10117868776,16101,131509772,985344,P,PH,A11LSB,2011-05-04,145.0,299.95,DI,1,
8302,10121488652,06880,131475958,985344,P,PH,A11LWB,2011-03-14,145.0,299.95,VI,1,
8303,10122690609,33810,131533445,985344,P,PH,A11LWB,2011-06-08,145.0,299.95,VI,1,299.95
8304,10124573105,59711,131657195,985344,P,PH,A11EHB,2011-11-04,145.0,299.95,VI,1,
8305,10127671532,11756,131768056,985344,P,PH,A11GFB,2011-12-14,145.0,299.95,MC,1,
8306,10128845193,94019,131819037,985344,P,PH,A11GFB,2012-02-06,145.0,299.95,MC,1,
8307,10128924995,33781,131822793,985344,P,PH,A12SPB,2012-02-13,190.0,399.95,MC,1,
8308,10129278128,0HMNX,131868937,985344,P,PH,W12FN4,2012-04-20,190.0,299.95,OA,1,
8309,10131458703,43504,131955604,985344,P,PH,A12PCB,2012-08-21,190.0,399.95,VI,1,
8341,10096403066,25403,131608479,986368,H,PH,A11EHB,2011-09-22,7.27,14.95,VI,1,
8342,10096403066,25403,131608479,986368,H,PH,A11EHB,2011-09-22,7.27,14.95,VI,1,
8344,10116945904,28704,131421698,986368,H,PH,A11WNB,2011-01-02,7.27,14.95,VI,1,
8359,10040153336,90049,131530593,991232,C,PH,A11FDB,2011-06-06,120.0,259.9,VI,2,
8360,10045202467,45806,131558001,991232,C,PH,A11MSB,2011-07-14,60.0,129.95,VI,1,
8361,10079292846,15234,131734609,991488,E,PH,A11LCB,2011-12-06,42.98,69.95,VI,1,
8362,10098534306,65560,131723562,991488,E,PH,A11LCB,2011-12-03,42.98,69.95,MC,1,
8363,10105736957,22030,131836334,991488,E,PH,W12WEB,2012-03-01,42.98,69.95,AX,1,
8364,10110611931,76050,131676850,991488,E,PH,A11LMB,2011-11-16,42.98,69.95,VI,1,69.95
8365,10126250503,78734,131709719,991488,E,PH,A11LCB,2011-11-29,85.96,139.9,AX,2,
8366,10124746684,77705,131877054,992256,C,PH,A12ESB,2012-04-30,63.96,179.9,AX,2,
8367,9996369234,90210,131953125,992768,B,PH,A12PCB,2012-08-16,7.65,39.95,AX,1,
8368,10123518515,91722,131955571,992768,B,PH,A12OFM,2012-08-21,7.65,39.95,AX,1,
8369,10123518515,91722,131955571,992768,B,PH,A12OFM,2012-08-21,7.65,39.95,AX,1,
8370,10131015138,77807,131931728,992768,B,PH,A12PCB,2012-07-17,7.65,39.95,AX,1,
8371,10131015138,77807,131931728,992768,B,PH,A12PCB,2012-07-17,7.65,39.95,AX,1,39.95
8372,10131015138,77807,131931728,992768,B,PH,A12PCB,2012-07-17,7.65,39.95,AX,1,39.95
8373,10131627826,01267,131963199,992768,B,PH,A12EHB,2012-09-05,7.65,39.95,VI,1,
8460,10120761627,16146,131644388,986369,O,PH,A11HLB,2011-10-27,48.5,129.95,VI,1,
8500,9991753440,70816,131769488,987905,C,PH,A11EGR,2011-12-15,41.05,99.95,MC,1,
8501,9991919711,85710,131932174,987905,C,PH,A12PCB,2012-07-17,41.05,99.95,MC,1,
8505,10002733150,07677,131895931,987905,C,PH,A12FDB,2012-05-30,41.05,99.95,AX,1,
8506,10027480480,33919,131580087,987905,C,PH,A11SMB,2011-08-11,41.05,99.95,VI,1,99.95
8512,10052634057,55337,131594267,987905,C,PH,A11EHB,2011-09-07,41.05,99.95,AX,1,99.95
8514,10062946369,21401,131559662,987905,C,PH,A11MSB,2011-07-17,41.05,99.95,VI,1,
8515,10067153351,22201,131479591,987905,C,PH,W11SHP,2011-03-19,41.05,99.95,DI,1,
8520,10088283219,90035,131546864,987905,C,PH,A11MSB,2011-06-27,41.05,99.95,MC,1,
8522,10094799033,64040,131648690,987905,C,PH,A11EHB,2011-10-31,41.05,99.95,DI,1,
8524,10099853858,10011,131854307,987905,C,PH,A12LSB,2012-03-27,41.65,99.95,MC,1,
8525,10100927456,60103,131633447,987905,C,PH,W11WEB,2011-10-19,41.05,99.95,MC,1,99.95
8526,10102541924,05401,131908091,987905,C,PH,A12SMB,2012-06-12,41.05,99.95,AX,1,
8527,10105932608,27407,131591950,987905,C,PH,A11MSB,2011-09-02,41.05,99.95,VI,1,
8531,10113106929,64506,131963285,987905,C,PH,A12EHB,2012-09-05,41.02,99.95,VI,1,
8537,10114439621,19422,131459428,987905,C,PH,A11SPB,2011-02-18,41.05,99.95,MC,1,99.95
8538,10114439621,19422,131516360,987905,C,PH,A11FDB,2011-05-17,41.05,99.95,DI,1,
8540,10115003004,76116,131808820,987905,C,PH,A12LWB,2012-01-23,41.05,99.95,MC,1,
8546,10119670029,48442,131493630,987905,C,PH,A11LSB,2011-04-07,41.05,99.95,MC,1,
8547,10119916516,77062,131503312,987905,C,PH,A11ESB,2011-04-26,41.65,99.95,MC,1,
8548,10120942212,33143,131621250,987905,C,PH,A11HLB,2011-10-05,41.05,99.95,MC,1,
8549,10121043018,77079,131864577,987905,C,PH,A12LSB,2012-04-10,41.05,99.95,AX,1,
8550,10121679498,77098,131823365,987905,C,PH,A12SPB,2012-02-13,41.05,99.95,MC,1,
8551,10121700929,98685,131486916,987905,C,PH,A11LSB,2011-03-30,41.05,99.95,VI,1,
8552,10122043899,12726,131502496,987905,C,PH,A11ESB,2011-04-25,41.05,99.95,VI,1,
8553,10122177510,33319,131732692,987905,C,PH,A11LCB,2011-12-05,41.05,99.95,AX,1,
8554,10123614486,46350,131577768,987905,C,PH,A11OFM,2011-08-09,41.05,99.95,VI,1,
8555,10123664637,04943,131580682,987905,C,PH,A11OFM,2011-08-12,41.05,99.95,MC,1,
8556,10125247878,31210,131942104,987905,C,PH,A12PCB,2012-07-31,41.05,99.95,MC,1,
8557,10126806781,01880,131732442,987905,C,PH,A11LCB,2011-12-05,41.05,99.95,AX,1,
8558,10127162334,95132,131775188,987905,C,PH,A11VRD,2011-12-16,41.05,99.95,VI,1,
8559,10127162334,95132,131784385,987905,C,PH,A11LMB,2011-12-21,41.05,99.95,VI,1,
8560,10127740775,34239,131770548,987905,C,PH,A11LMB,2011-12-15,41.05,99.95,DI,1,
8561,10128978200,16134,131901283,987905,C,PH,A12SMB,2012-06-05,41.65,99.95,MC,1,
8562,10129135568,29936,131834280,987905,C,PH,A12SPB,2012-02-27,41.65,99.95,VI,1,
8563,10129375627,34223,131847861,987905,C,PH,W12WEB,2012-03-16,41.05,99.95,MC,1,99.95
8564,10129942642,83501,131877369,987905,C,PH,A12ESB,2012-05-01,41.05,99.95,VI,1,
8565,10130729417,32225,131924754,987905,C,PH,A12MSB,2012-07-07,41.02,99.95,MC,1,
8566,10010074671,49201,131601000,988161,F,PH,A11PCB,2011-09-13,46.0,99.95,MC,1,
8567,10105987695,98021,131575921,988161,F,PH,A11PCB,2011-08-07,46.0,99.95,VI,1,99.95
8568,10112998509,90403,131815745,988161,F,PH,W12SHP,2012-01-31,46.0,99.95,PX,1,
8569,10123441336,89048,131569323,988161,F,PH,A11PCB,2011-07-27,46.0,99.95,VI,1,99.95
8572,10091565842,48214,131506501,989953,K,PH,A11ESB,2011-04-29,99.0,179.95,VI,1,
8573,10006555459,77024,131571179,991233,C,PH,A11PCB,2011-07-30,0.0,39.95,MC,1,
8574,10047669590,33173,131781126,991233,C,PH,A11LCR,2011-12-19,13.5,19.95,MC,1,
8575,10125205844,13090,131660559,991233,C,PH,A11GFP,2011-11-07,0.0,29.95,VI,1,
8576,10015759299,49341,131904186,991489,C,PH,W12SHP,2012-06-07,49.5,109.95,VI,1,109.95
8577,10040838588,39216,131902024,991489,C,PH,A12SMB,2012-06-06,49.5,109.95,AX,1,109.95
8578,10076547519,60525,131915709,991489,C,PH,A12MSB,2012-06-23,49.5,109.95,MC,1,
8579,10104854655,33146,131913593,991489,C,PH,A12SMB,2012-06-20,49.5,109.95,MC,1,
8580,10104854655,33146,131951181,991489,C,PH,A12MSB,2012-08-13,49.5,109.95,MC,1,
8581,10104854655,33146,131951181,991489,C,PH,A12MSB,2012-08-13,49.5,109.95,MC,1,
8582,10128201512,29732,131914934,991489,C,PH,A12SMB,2012-06-22,49.5,109.95,VI,1,
8583,10040838588,39216,131902024,992257,C,PH,A12SMB,2012-06-06,36.0,79.95,AX,1,
8584,10123682484,93306,131855930,992257,C,PH,A12LSB,2012-03-28,36.0,79.95,MC,1,
8585,10130828203,87108,131922846,992257,C,PH,A12MSB,2012-07-02,36.0,79.95,VI,1,79.95
8586,10130928242,28216,131927020,992257,C,PH,A12SMB,2012-07-11,36.0,79.95,MC,1,79.95
8587,9992937999,20854,131928996,992769,B,PH,A12PCB,2012-07-15,12.47,39.95,VI,1,
8588,10033365517,99205,131956223,992769,B,PH,A12OFM,2012-08-22,12.47,39.95,VI,1,
8589,10069008561,44484,131944847,992769,B,PH,A12PCB,2012-08-06,12.47,39.95,AX,1,
8590,10069008561,44484,131953017,992769,B,PH,A12PCB,2012-08-16,12.47,39.95,AX,1,
8591,10096349764,78259,131933544,992769,B,PH,A12PCB,2012-07-18,12.47,39.95,VI,1,
8592,10108995750,21403,131962620,992769,B,PH,A12EHB,2012-09-05,12.47,39.95,VI,1,
8692,10024183811,77004,131767429,987394,T,PH,A11EGR,2011-12-14,120.0,269.95,VI,1,
8695,10084495609,49696,131439684,987394,T,PH,A11LWB,2011-01-25,120.0,269.95,VI,1,
8706,10126150281,07701,131773151,987394,T,PH,W11SHP,2011-12-16,120.0,269.95,AX,1,
8707,10126302864,08824,131712385,987394,T,PH,W11WEB,2011-11-29,120.0,269.95,MC,1,
8708,10126728811,49036,131728699,987394,T,PH,A11LCR,2011-12-05,120.0,269.95,MC,1,
8709,10130623890,19403,131965176,987394,T,PH,A12EHB,2012-09-07,120.0,269.95,VI,1,
8723,10121055691,95490,131453369,989954,C,PH,A11LWB,2011-02-12,21.0,49.95,VI,1,
8724,10007825646,48167,131752883,991234,S,PH,A11LMB,2011-12-10,12.25,24.95,AX,1,
8725,10008340479,40222,131777680,991234,S,PH,A11LCB,2011-12-18,12.25,24.95,AX,1,
8726,10017325190,72076,131750428,991234,S,PH,A11LCR,2011-12-09,12.25,24.95,VI,1,
8727,10033326610,90266,131741421,991234,S,PH,A11LCR,2011-12-07,12.25,24.95,VI,1,
8728,10053132765,43215,131742571,991234,S,PH,A11LCR,2011-12-07,12.25,24.95,AX,1,
8729,10062604472,48176,131735926,991234,S,PH,A11LCR,2011-12-06,12.25,24.95,VI,1,
8730,10064455023,33483,131684863,991234,S,PH,A11LMB,2011-11-18,12.25,24.95,AX,1,
8731,10070320846,92532,131759726,991234,S,PH,A11LMB,2011-12-12,12.25,24.95,AX,1,
8732,10077335879,16823,131775564,991234,S,PH,A11LCR,2011-12-17,12.25,24.95,VI,1,
8733,10085956230,91345,131755409,991234,S,PH,A11EGR,2011-12-11,12.25,24.95,AX,1,
8734,10094350598,07640,131679964,991234,S,PH,A11LMB,2011-11-17,12.25,24.95,VI,1,
8735,10114805918,15209,131719195,991234,S,PH,A11LCB,2011-12-01,12.25,24.95,DI,1,
8736,10117928677,T9K2B,131776151,991234,S,PH,A11LMB,2011-12-17,12.25,24.95,PX,1,
8737,10120366536,48310,131742114,991234,S,PH,A11LCB,2011-12-07,12.25,24.95,MC,1,
8738,10121012830,33469,131764917,991234,S,PH,A11LCR,2011-12-13,12.25,24.95,AX,1,
8739,10121012830,33469,131764917,991234,S,PH,A11LCR,2011-12-13,12.25,24.95,AX,1,
8740,10121012830,33469,131764917,991234,S,PH,A11LCR,2011-12-13,12.25,24.95,AX,1,
8741,10121012830,33469,131764917,991234,S,PH,A11LCR,2011-12-13,12.25,24.95,AX,1,
8742,10125412557,55391,131671567,991234,S,PH,A11LMB,2011-11-14,12.25,24.95,VI,1,
8743,10125413308,85716,131671673,991234,S,PH,A11LMB,2011-11-14,12.25,24.95,VI,1,
8744,10125577970,96112,131680564,991234,S,PH,A11LMB,2011-11-17,12.25,24.95,MC,1,
8745,10125666978,91786,131685599,991234,S,PH,A11LMB,2011-11-18,12.25,24.95,MC,1,
8746,10125736963,06071,131688621,991234,S,PH,A11LMB,2011-11-20,12.25,24.95,AX,1,
8747,10125848049,30318,131694036,991234,S,PH,A11LMB,2011-11-22,12.25,24.95,AX,1,
8748,10125848049,30318,131694036,991234,S,PH,A11LMB,2011-11-22,12.25,24.95,AX,1,
8749,10126257349,06111,131710188,991234,S,PH,A11LMB,2011-11-29,12.25,24.95,MC,1,
8750,10126267950,66223,131711036,991234,S,PH,A11LCB,2011-11-29,12.25,24.95,VI,1,
8751,10126307829,67202,131712527,991234,S,PH,A11LCB,2011-11-29,12.25,24.95,DI,1,
8752,10126615481,54022,131725093,991234,S,PH,A11LCR,2011-12-03,12.25,24.95,VI,1,
8753,10126769708,65804,131730758,991234,S,PH,A11LMB,2011-12-05,24.5,49.9,VI,2,
8754,10126863461,45039,131735139,991234,S,PH,A11LCR,2011-12-06,12.25,24.95,AX,1,
8755,10127128896,32818,131747122,991234,S,PH,A11LCR,2011-12-09,12.25,24.95,VI,1,
8756,10127192314,46219,131750589,991234,S,PH,A11LCR,2011-12-09,12.25,24.95,VI,1,
8757,10127286058,92688,131754360,991234,S,PH,A11LCR,2011-12-10,12.25,24.95,MC,1,
8758,10127391757,60062,131757092,991234,S,PH,A11LCB,2011-12-12,12.25,24.95,VI,1,
8759,10080713644,82501,131899913,992258,C,PH,A12SMB,2012-06-04,27.0,69.95,VI,1,
8760,10092886686,07021,131967240,992258,C,PH,A12EHB,2012-09-09,27.0,69.95,AX,1,
8761,10108648294,23452,131931822,992258,C,PH,A12PCB,2012-07-17,27.0,69.95,VI,1,
8762,10109137477,80525,131889531,992258,C,PH,A12FDB,2012-05-18,27.0,69.95,VI,1,
8763,10114201846,33870,131947243,992258,C,PH,A12SMB,2012-08-08,27.0,69.95,AX,1,
8764,10121794088,96793,131951981,992258,C,PH,A12OFM,2012-08-14,27.0,69.95,AX,1,
8765,10130464396,44132,131904529,992258,C,PH,A12SMB,2012-06-07,27.0,69.95,VI,1,
8766,10130983815,55044,131929689,992258,C,PH,A12PCB,2012-07-16,27.0,69.95,VI,1,
8767,10131337311,05663,131949016,992258,C,PH,A12OFM,2012-08-10,27.0,69.95,MC,1,
8797,10050854467,94903,131640986,983811,B,PH,A11GFP,2011-10-24,17.5,35.95,AX,1,
8814,10105719914,95070,131522263,983811,B,PH,A11FDB,2011-05-23,17.5,35.95,VI,1,
8818,10114214937,30311,131437829,983811,B,PH,W11WEB,2011-01-23,17.5,35.95,AX,1,
8822,10125384920,19114,131953613,983811,B,PH,A12OFM,2012-08-17,22.5,45.95,VI,1,
8899,10006510298,08540,131533012,988419,T,PH,A11SMB,2011-06-08,48.75,99.95,VI,1,
8900,10032698791,32136,131687447,988419,T,PH,A11MSB,2011-11-19,48.75,99.95,AX,1,
8903,10122922386,85373,131543653,988419,T,PH,A11FDB,2011-06-22,48.75,99.95,VI,1,
8904,10123006468,92260,131548109,988419,T,PH,A11MSB,2011-06-28,48.75,99.95,VI,1,
8913,9999330851,10475,131471014,989955,P,PH,A11OTB,2011-03-08,18.0,69.95,MC,1,
8914,10000339875,20008,131636283,991235,B,PH,A11GFP,2011-10-20,49.39,109.95,VI,1,
8915,10000812295,21209,131740260,991235,B,PH,A11GFB,2011-12-07,49.39,109.95,AX,1,
8916,10002888582,46814,131899405,991235,B,PH,A12SMB,2012-06-04,55.75,109.95,AX,1,109.95
8917,10013654006,06513,131965480,991235,B,PH,A12EHB,2012-09-07,55.75,119.95,VI,1,
8918,10017284328,10605,131965539,991235,B,PH,A12EHB,2012-09-07,55.75,119.95,AX,1,
8919,10046404542,10025,131831117,991235,B,PH,W12WEB,2012-02-22,55.75,99.95,VI,1,99.95
8920,10050284600,94619,131546497,991235,B,PH,A11MSB,2011-06-27,49.39,99.95,AX,1,
8921,10055850703,71711,131652604,991235,B,PH,A11HLB,2011-11-02,49.39,99.95,VI,1,
8922,10055850703,71711,131652604,991235,B,PH,A11HLB,2011-11-02,49.39,99.95,VI,1,
8923,10060868674,99208,131838829,991235,B,PH,A12LWB,2012-03-05,55.75,109.95,MC,1,109.95
8924,10079769861,20852,131629619,991235,B,PH,W11SHP,2011-10-16,49.39,109.95,VI,1,
8925,10081533232,32408,131944516,991235,B,PH,A12SMB,2012-08-05,55.75,109.95,MC,1,
8926,10082605773,92377,131764366,991235,B,PH,A11EGR,2011-12-13,49.39,109.95,PX,1,
8927,10088956766,60004,131580951,991235,B,PH,A11OFM,2011-08-12,49.39,99.95,VI,1,
8928,10093141047,19711,131663511,991235,B,PH,A11GFB,2011-11-09,49.39,109.95,AX,1,
8929,10101114285,33130,131769633,991235,B,PH,A11EGR,2011-12-15,49.39,109.95,MC,1,
8930,10103998369,84095,131744166,991235,B,PH,A11LCR,2011-12-08,49.39,109.95,AX,1,
8931,10105736957,22030,131836334,991235,B,PH,W12WEB,2012-03-01,55.75,99.95,AX,1,
8932,10110577201,40503,131899079,991235,B,PH,A12SMB,2012-06-04,55.75,109.95,VI,1,
8933,10115727346,89012,131836064,991235,B,PH,A12SPB,2012-03-01,55.75,109.95,VI,1,
8934,10115727346,89012,131836064,991235,B,PH,A12SPB,2012-03-01,55.75,109.95,VI,1,
8935,10117531300,42464,131650541,991235,B,PH,A11GFB,2011-11-01,49.39,109.95,VI,1,
8936,10118617469,34292,131550988,991235,B,PH,A11MSB,2011-07-01,49.39,99.95,MC,1,
8937,10120907694,98368,131612531,991235,B,PH,A11EHB,2011-09-27,49.39,99.95,VI,1,
8938,10122885393,91780,131541676,991235,B,PH,A11SMB,2011-06-19,49.39,99.95,VI,1,
8939,10122885393,91780,131568247,991235,B,PH,A11PCB,2011-07-26,49.39,99.95,VI,1,
8940,10123042051,98501,131546705,991235,B,PH,W11SHP,2011-06-27,49.39,99.95,VI,1,
8941,10123258723,12192,131560283,991235,B,PH,A11PCB,2011-07-18,49.39,99.95,VI,1,
8942,10123804598,93455,131907371,991235,B,PH,A12SMB,2012-06-11,55.75,109.95,MC,1,
8943,10123804598,93455,131907371,991235,B,PH,A12SMB,2012-06-11,55.75,109.95,MC,1,
8944,10124339415,46060,131613628,991235,B,PH,A11HLB,2011-09-28,55.75,99.95,VI,1,
8945,10124516385,10452,131894462,991235,B,PH,W12WEB,2012-05-25,55.75,99.95,VI,1,99.95
8946,10124990898,47302,131648919,991235,B,PH,A11EHB,2011-10-31,49.39,99.95,VI,1,99.95
8947,10125817549,02128,131692765,991235,B,PH,A11LMB,2011-11-21,49.39,109.95,VI,1,
8948,10125856573,53209,131694771,991235,B,PH,A11GFP,2011-11-22,49.39,109.95,MC,1,
8949,10127718902,99501,131769056,991235,B,PH,A11LCR,2011-12-15,49.39,109.95,VI,1,
8950,10129005638,37716,131827792,991235,B,PH,A12SPB,2012-02-17,55.75,109.95,VI,1,
8951,10129231953,65622,131839243,991235,B,PH,A11GFP,2012-03-06,55.75,109.95,VI,1,109.95
8952,10130015727,21044,131881010,991235,B,PH,A12OTB,2012-05-07,55.75,109.95,VI,1,
8953,10131617240,22314,131962396,991235,B,PH,A12EHB,2012-09-05,55.75,119.95,MC,1,
8954,10131679571,85367,131966315,991235,B,PH,A12EHB,2012-09-08,55.75,119.95,MC,1,
8955,10131763276,48750,131970632,991235,B,PH,A12EHB,2012-09-13,55.75,119.95,VI,1,
8956,10113893685,71106,131741618,991491,B,PH,W11WEB,2011-12-07,20.0,69.95,VI,1,
8957,10117451868,65536,131773850,991491,B,PH,A11LCR,2011-12-16,40.0,139.9,VI,2,
8958,10131605675,33109,131962378,991491,B,PH,A12OFM,2012-09-05,20.0,69.95,VI,1,
8959,10131605675,33109,131962378,991491,B,PH,A12OFM,2012-09-05,20.0,69.95,VI,1,
8960,10026740807,10530,131682029,992259,C,PH,A11LMB,2011-11-17,27.89,69.95,MC,1,
8961,10047003196,53954,131729611,992259,C,PH,A11LMB,2011-12-05,27.89,69.95,MC,1,
8962,10078124984,55125,131760180,992259,C,PH,A11LCB,2011-12-12,27.89,69.95,AX,1,
8963,10127391781,38834,131757093,992259,C,PH,A11LCB,2011-12-12,27.89,69.95,AX,1,
9163,9995849096,43130,131613940,984324,T,PH,A11HLB,2011-09-28,10.8,29.95,VI,1,29.95
9165,9996369234,90210,131953125,984324,T,PH,A12PCB,2012-08-16,10.4,29.95,AX,1,
9168,10002706693,93110,131702881,984324,T,PH,A11LMB,2011-11-26,10.8,24.95,VI,1,
9170,10005696269,10022,131623722,984324,T,PH,A11OFM,2011-10-07,10.8,29.95,AX,1,
9171,10005696269,10022,131623722,984324,T,PH,A11OFM,2011-10-07,10.8,29.95,AX,1,
9172,10005696269,10022,131623722,984324,T,PH,A11OFM,2011-10-07,10.8,29.95,AX,1,
9174,10008572454,40206,131932442,984324,T,PH,A12PCB,2012-07-18,10.4,29.95,VI,1,
9176,10013507659,79424,131646744,984324,T,PH,A11GFP,2011-10-28,10.8,24.95,MC,1,
9198,10050182300,45011,131618832,984324,T,PH,A11SMB,2011-10-03,10.8,29.95,VI,1,
9199,10051882741,84117,131570900,984324,T,PH,A11PCB,2011-07-29,10.8,29.95,VI,1,
9202,10054570269,55331,131578095,984324,T,PH,A11OFM,2011-08-09,10.8,29.95,AX,1,
9206,10070615229,21401,131622468,984324,T,PH,A11HLB,2011-10-06,10.8,29.95,AX,1,29.95
9214,10081784229,92067,131581969,984324,T,PH,A11OFM,2011-08-13,10.8,29.95,MC,1,
9215,10081784229,92067,131581969,984324,T,PH,A11OFM,2011-08-13,10.8,29.95,MC,1,
9216,10082354363,44131,131662650,984324,T,PH,A11HLB,2011-11-08,10.8,29.95,AX,1,
9222,10088962869,85050,131631337,984324,T,PH,A11EHB,2011-10-18,10.8,29.95,AX,1,
9232,10091961662,19801,131631535,984324,T,PH,W11WEB,2011-10-18,10.8,29.95,VI,1,
9240,10098345125,88101,131663668,984324,T,PH,A11GFB,2011-11-09,10.8,29.95,AX,1,
9246,10099185989,45107,131594029,984324,T,PH,A11OFM,2011-09-07,10.8,29.95,AX,1,
9264,10101920028,53402,131641506,984324,T,PH,A11EHB,2011-10-24,10.8,29.95,VI,1,
9281,10108078870,98070,131573653,984324,T,PH,A11PCB,2011-08-03,10.8,29.95,MC,1,
9282,10114282575,28557,131592333,984324,T,PH,A11OFM,2011-09-02,10.8,29.95,VI,1,
9283,10118999659,31709,131611336,984324,T,PH,A11EHB,2011-09-26,10.8,29.95,VI,1,
9284,10118999659,31709,131611336,984324,T,PH,A11EHB,2011-09-26,10.8,29.95,VI,1,
9285,10121203754,07050,131577211,984324,T,PH,A11OFM,2011-08-08,10.8,29.95,DI,1,
9286,10121449282,20017,131594984,984324,T,PH,A11EHB,2011-09-07,10.8,29.95,VI,1,
9287,10123409357,92346,131567763,984324,T,PH,A11PCB,2011-07-25,21.6,59.9,VI,2,
9288,10123894795,95472,131591807,984324,T,PH,A11OFM,2011-09-01,21.6,59.9,MC,2,
9289,10124278464,49093,131610412,984324,T,PH,A11PCB,2011-09-25,10.8,29.95,MC,1,
9290,10124372226,97801,131615732,984324,T,PH,A11HLB,2011-09-29,10.8,29.95,VI,1,
9291,10124573253,L0S1J,131634258,984324,T,PH,A11GFP,2011-10-19,10.8,24.95,MC,1,
9292,10124736685,33629,131635053,984324,T,PH,A11GFP,2011-10-20,21.6,49.9,VI,2,
9293,10125043610,78840,131651870,984324,T,PH,A11GFP,2011-11-02,10.8,24.95,MC,1,
9294,10125043610,78840,131651870,984324,T,PH,A11GFP,2011-11-02,10.8,24.95,MC,1,
9295,10125112100,34230,131656264,984324,T,PH,A11GFB,2011-11-04,10.8,29.95,MC,1,
9296,10125413638,34221,131671721,984324,T,PH,A11GFP,2011-11-14,10.8,24.95,DI,1,
9297,10125423332,19380,131672419,984324,T,PH,A11GFB,2011-11-14,10.8,29.95,MC,1,
9298,10125440788,99167,131673357,984324,T,PH,A11GFB,2011-11-14,10.8,29.95,VI,1,
9299,10125596490,49461,131681710,984324,T,PH,A11GFB,2011-11-17,10.8,29.95,VI,1,
